episode,timestep,reward
20,2000,-193.2967
40,4000,-187.8395
58,6000,-178.4084
79,8000,-202.866
99,10000,-171.3059
121,12000,-181.3069
141,14000,-136.7557
163,16000,-107.4559
185,18000,-130.3772
203,20000,-173.7174
224,22000,-107.2855
236,24000,-93.6282
259,26000,-111.0975
281,28000,-103.6216
302,30000,-105.7294
325,32000,-106.7986
345,34000,-101.2365
366,36000,-104.2508
387,38000,-89.5966
408,40000,-72.891
430,42000,-54.99
448,44000,-51.2022
466,46000,-36.3257
483,48000,-31.9051
499,50000,-13.8992
515,52000,-21.2698
531,54000,-7.8728
548,56000,-20.2267
557,58000,-5.5971
565,60000,-20.3371
569,62000,14.0049
573,64000,42.4001
579,66000,-39.0802
585,68000,5.5533
590,70000,-16.9716
594,72000,-35.2578
602,74000,1.8242
605,76000,41.6596
608,78000,10.1169
611,80000,11.6118
613,82000,39.2513
615,84000,67.5746
617,86000,74.5057
619,88000,67.1857
625,90000,-11.496
633,92000,20.5073
638,94000,39.6909
642,96000,16.5779
645,98000,61.0384
648,100000,24.907
653,102000,33.6228
657,104000,72.6955
659,106000,0.5858
663,108000,48.4919
666,110000,80.7078
668,112000,68.4656
671,114000,-101.7701
675,116000,43.2184
678,118000,-10.7867
681,120000,31.4325
684,122000,89.702
686,124000,71.4494
689,126000,59.1156
692,128000,34.6887
694,130000,51.5575
696,132000,125.3059
700,134000,50.9641
704,136000,54.8707
706,138000,126.7177
708,140000,91.1799
710,142000,116.2938
712,144000,125.5593
714,146000,-4.3589
717,148000,30.8796
720,150000,82.165
723,152000,64.1793
726,154000,43.8558
728,156000,67.5751
730,158000,114.7839
733,160000,65.1441
735,162000,158.957
737,164000,58.7722
740,166000,83.6765
742,168000,58.0526
744,170000,127.9097
750,172000,52.1595
755,174000,14.5574
759,176000,51.2001
762,178000,61.5723
764,180000,117.419
766,182000,112.584
771,184000,61.5313
773,186000,60.7734
775,188000,117.4013
777,190000,118.9961
779,192000,138.6889
784,194000,-33.8806
786,196000,137.4372
788,198000,114.6502
790,200000,60.3827
793,202000,100.9432
795,204000,121.5334
797,206000,142.325
799,208000,104.2793
801,210000,156.1122
803,212000,91.0776
806,214000,90.5031
810,216000,32.819
812,218000,85.0662
815,220000,99.2556
818,222000,70.9132
820,224000,156.593
822,226000,136.2893
825,228000,28.424
827,230000,156.0729
829,232000,133.1689
832,234000,128.8959
834,236000,132.3458
836,238000,162.2226
838,240000,140.9234
841,242000,117.4893
843,244000,143.6331
845,246000,134.1958
847,248000,116.6471
849,250000,140.1954
851,252000,141.8758
853,254000,131.1533
855,256000,123.8985
857,258000,150.5382
859,260000,175.9903
861,262000,130.5179
864,264000,89.3127
866,266000,123.2481
868,268000,165.4837
871,270000,102.5119
873,272000,132.739
875,274000,156.3547
877,276000,119.0393
879,278000,139.2463
882,280000,111.5962
884,282000,48.7071
886,284000,135.5787
888,286000,165.9755
890,288000,171.8561
893,290000,126.8999
896,292000,74.6617
898,294000,161.0814
900,296000,140.2339
902,298000,125.6144
904,300000,146.6812
907,302000,101.684
909,304000,138.8992
913,306000,64.2111
915,308000,139.5353
917,310000,152.0068
919,312000,159.39
922,314000,119.1323
925,316000,18.7396
927,318000,143.9706
931,320000,85.4686
933,322000,151.3517
935,324000,101.1708
937,326000,138.7107
939,328000,133.5838
941,330000,157.7814
944,332000,127.6096
947,334000,129.2432
949,336000,123.2026
952,338000,163.3885
954,340000,194.9881
957,342000,184.2374
959,344000,148.8096
962,346000,77.9718
964,348000,91.3233
966,350000,137.1795
968,352000,113.9837
970,354000,151.6547
972,356000,147.0511
974,358000,114.9547
976,360000,146.5674
978,362000,143.6367
980,364000,89.7289
982,366000,128.1366
984,368000,126.5947
986,370000,163.4179
989,372000,163.0789
991,374000,153.779
993,376000,151.6425
996,378000,110.5292
998,380000,161.1092
1000,382000,123.682
1002,384000,177.9189
1004,386000,152.7327
1006,388000,131.8543
1008,390000,135.8237
1010,392000,143.5974
1013,394000,108.3594
1016,396000,100.474
1018,398000,132.3474
1020,400000,137.9474
1022,402000,115.9117
1024,404000,94.9802
1026,406000,154.6816
1029,408000,90.0098
1032,410000,91.2961
1034,412000,153.0462
1036,414000,149.0645
1038,416000,96.2446
1040,418000,128.0982
1042,420000,159.0354
1044,422000,106.5817
1046,424000,147.8778
1048,426000,159.5781
1050,428000,128.3823
1052,430000,156.7897
1055,432000,102.5073
1057,434000,158.7952
1060,436000,145.5965
1062,438000,123.9877
1065,440000,70.9959
1067,442000,131.4011
1071,444000,62.1817
1073,446000,133.6642
1075,448000,138.0032
1077,450000,143.2201
1079,452000,120.0826
1081,454000,145.2186
1083,456000,142.99
1086,458000,159.7085
1088,460000,141.5841
1090,462000,190.4284
1092,464000,152.3457
1095,466000,95.9389
1097,468000,113.4839
1101,470000,112.0154
1103,472000,127.0824
1105,474000,122.9599
1107,476000,94.5629
1109,478000,140.4645
1111,480000,102.4053
1113,482000,106.103
1115,484000,115.2483
1117,486000,149.9319
1119,488000,118.5222
1121,490000,140.781
1124,492000,114.5206
1126,494000,101.4213
1128,496000,157.0862
1130,498000,130.7394
1133,500000,79.8197
1136,502000,177.6638
1138,504000,142.348
1140,506000,141.491
1142,508000,152.1019
1144,510000,143.7867
1146,512000,127.2093
1148,514000,-10.312
1150,516000,143.6373
1152,518000,135.4874
1154,520000,114.3541
1156,522000,131.0834
1158,524000,129.8734
1160,526000,109.2098
1162,528000,148.3431
1164,530000,74.698
1168,532000,47.1877
1171,534000,75.6681
1174,536000,117.9207
1176,538000,136.8386
1178,540000,44.878
1180,542000,142.2841
1182,544000,139.8933
1185,546000,83.3426
1187,548000,159.501
1189,550000,166.611
1192,552000,98.5571
1194,554000,134.3651
1196,556000,105.2863
1199,558000,66.6711
1201,560000,139.3603
1203,562000,130.3096
1205,564000,113.8362
1209,566000,83.6987
1211,568000,142.95
1213,570000,150.9155
1215,572000,139.7068
1217,574000,139.6739
1219,576000,173.0113
1222,578000,107.7889
1224,580000,103.287
1226,582000,137.4898
1228,584000,104.9468
1230,586000,161.6456
1232,588000,102.1574
1234,590000,143.5536
1236,592000,149.3158
1238,594000,73.0433
1240,596000,147.9729
1242,598000,111.2408
1245,600000,105.6147
1248,602000,82.3483
1250,604000,145.9081
1252,606000,142.79
1254,608000,170.0702
1256,610000,133.6067
1258,612000,154.2024
1261,614000,83.9991
1263,616000,153.7699
1265,618000,133.3493
1268,620000,80.4796
1270,622000,131.1162
1272,624000,141.751
1274,626000,116.9928
1276,628000,151.2957
1278,630000,148.0181
1280,632000,147.0343
1282,634000,145.8068
1285,636000,140.9074
1287,638000,141.7865
1289,640000,122.3689
1291,642000,153.0159
1293,644000,149.6805
1295,646000,136.4443
1297,648000,152.3004
